Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
CTS,New Chitose,2576180.817,Japan,42.79579926,141.6692047
ACE,Lanzarote,2575617.527,Spain,28.94249916,-13.60470009
DEN,Denver International,2574750.927,United States,39.85829926,-104.6669006
GMP,Gimpo International,2515393.16,South Korea,37.5503006,126.7835999
EMA,East Midlands,2479416.261,United Kingdom,52.83000183,-1.329399943
NAS,Lynden Pindling Intl,2450016.856,Bahamas,25.04059982,-77.47190094
LAS,Mccarran Intl,2446949.092,United States,36.07970047,-115.1588974
TBS,Tbilisi International Airport,2424040.521,Georgia,41.66939926,44.95510101
MRU,Sir S. Ramgoolam International,2422740.621,Mauritius,-20.42749977,57.67639923
REP,Angkor International,2414884.892,Cambodia,13.40890026,103.8158035
ECN,Ercan,2408606.375,Cyprus,35.15969849,33.48830032
LIN,Linate,2375346.267,Italy,45.44169998,9.277799606
ISB,Benazir Bhutto Intl,2348520.664,Pakistan,33.5483017,72.82499695
NKG,Lukou International,2341080.903,China,31.99530029,118.8116989
TAS,Tashkent-Vostochny International,2332310.911,Uzbekistan,41.31669998,69.38330078
LPL,John Lennon Airport,2302573.532,United Kingdom,53.3382988,-2.866699934
NCL,Newcastle International Airport,2291580.711,United Kingdom,55.03779984,-1.686699987
PSA,Galileo Galilei,2289973.168,Italy,43.68059921,10.39280033
HRG,Hurghada International Airport,2278980.347,Egypt,27.18580055,33.7989006
HYD,Rajiv Gandhi International,2267844.537,India,17.25,78.41670227
LHE,Allama Iqbal Intl,2263866.843,Pakistan,31.52079964,74.40280151
OKA,Naha,2255894.123,Japan,26.1990757,127.6446762
CXR,Cam Rahn International,2242422.826,Vietnam,11.99359989,109.2249985
CNX,Chiang Mai Intl,2241807.54,Thailand,18.77190018,98.96829987
PVR,G. Diaz Ordaz Intl,2237240.558,Mexico,20.68190002,-105.2482987
GUA,La Aurora International,2214180.332,Guatemala,14.58189964,-90.52749634
BVA,Beauvais-Tille,2199695.113,France,49.4557991,2.112499952
BGW,Baghdad International Airport,2197740.93,Iraq,33.26670075,44.5
SVQ,Sevilla Airport,2146459.875,Spain,37.41500092,-5.897500038
LOS,Murtala Muhammed International,2138010.525,Nigeria,6.588900089,3.326400042
CTA,Fontanarossa,2118377.702,Italy,37.40280151,14.92310047
BKI,Kota Kinabalu International,2114633.99,Malaysia,5.94080019,116.0500031
GUM,Antonio B. Won Pat International Airport,2110270.659,United States,13.48169994,144.7933044
TSN,Binhai International,2085841.205,China,39.1189003,117.3469009
TIA,Rinas,2063322.604,Albania,41.41690064,19.7166996
CKG,Jiangbei International,2063049.625,China,29.49580002,106.3597031
CCU,Subhas Chandra Bose Airport,2046501.898,India,22.65250015,88.44920349
XIY,Xianyang International,2032926.609,China,34.36669922,108.699997
SHA,Hongqiao International,2030504.462,China,31.19809914,121.3364029
LBA,Leeds/Bradford Airport,2020841.872,United Kingdom,53.86529923,-1.654700041
NUE,Nuremberg,2002305.298,Germany,49.49969864,11.08170033
KTW,Pyrzowice,1969634.478,Poland,50.48329926,19.08329964
FUE,Fuerteventura,1951184.564,Spain,28.44809914,-13.86190033
ZAG,Franjo Tudman,1941573.97,Croatia,45.74309921,16.07029915
ADB,Adnan Menderes,1919969.632,Turkey,38.29430008,27.15620041
BLL,Billund,1912555.869,Denmark,55.74029923,9.152799606
KRT,Khartoum Civil International,1905692.397,Sudan,15.59939957,32.55609894
TSA,Songshan,1891267.84,Taiwan,25.07110024,121.543602
TLL,Lennart Meri,1888247.739,Estonia,59.41669846,24.81669998
EVN,Zvartnots International Airport,1876219.331,Armenia,40.15420151,44.40140152
WUH,Tianhe International,1874425.469,China,30.5977993,114.2427979
RHO,Diagoras,1856092.546,Greece,36.38470078,28.11829948
ALA,Almaty International,1846798.261,Kazakhstan,43.34999847,77.03330231
TAE,Daegu International,1804785.493,South Korea,35.89030075,128.6605988
KIV,Kishinev International,1803775.904,Moldova,46.93330002,28.93330002
CSX,Huanghua International Airport,1778644.504,China,28.19659996,113.2207031
ABJ,Felix Houphouet-Boigny,1731622.788,Ivory Coast (Cote d'Ivoire),5.256400108,-3.92689991
CCJ,Calicut International,1678010.579,India,11.13329983,75.95279694
LGA,La Guardia,1677178.643,United States,40.77939987,-73.87580109
SPU,Split Airport,1670245.843,Croatia,43.52500153,16.29220009
CPT,Cape Town Intl.,1659590.996,South Africa,-33.96469879,18.60219955
WMI,Modlin,1648520.181,Poland,52.4510994,20.65169907
CJU,Jeju International,1640387.14,South Korea,33.50559998,126.4950028
FLR,Peretola,1634819.235,Italy,43.81029892,11.19779968
WRO,Strachowice,1607235.357,Poland,51.09999847,16.88330078
ESB,Esenboga,1601533.129,Turkey,40.12919998,32.99670029
PHX,Sky Harbor Intl,1594630.66,United States,33.43610001,-112.0089035
BIO,Bilbao Airport,1589660.709,Spain,43.30279923,-2.921700001
DSS,Blaise Diagne International Airport,1578607.226,Senegal,14.67109966,-17.06690025
PFO,Paphos International,1575881.769,Cyprus,34.7193985,32.48469925
ORK,Cork International,1571765.419,Ireland,51.84080124,-8.488900185
ACC,Kotoka International,1549680.118,Ghana,5.595300198,-0.1708
SUB,Juanda,1536200.155,Indonesia,-7.218100071,112.7208023
POS,Piarco International,1514743.139,Trinidad and Tobago,10.5916996,-61.33969879
UIO,Mariscal Sucre Intl,1499222.333,Ecuador,-0.137799993,-78.48609924
BGO,Flesland,1489915.049,Norway,60.29359818,5.219399929
RUN,Roland Garros,1484932.099,Reunion,-20.87719917,55.52140045
CFU,Ioannis Kapodistrias Airport,1480131.135,Greece,39.60189819,19.9116993
HBE,Borg el Arab Airport,1479970.814,Egypt,30.91979981,29.69630051
DBV,Dubrovnik,1474992.197,Croatia,42.56330109,18.26530075
BRI,Palese Macchie,1471005.837,Italy,41.14110184,16.78829956
DLC,Zhoushuizi International,1447711.629,China,38.91669846,121.6500015
GYE,Jose Joaquin de Olmedo,1442867.335,Ecuador,-2.15440011,-79.87560272
FOC,Changle International,1442256.382,China,26.10000038,119.2833023
IEV,Zhuliany International,1434123.341,Ukraine,50.40190125,30.45079994
KNO,Kuala Namu,1419508.132,Indonesia,3.642199993,98.88529968
DTM,Dortmund Airport,1412536.335,Germany,51.51670075,7.466700077
BGI,Grantley Adams International,1403727.346,Barbados,13.07219982,-59.49309921
CLJ,Napoca,1380294.482,Romania,46.78329849,23.68330002
DLM,Dalaman,1369812.955,Turkey,36.71250153,28.79220009
BWN,Brunei International,1364435.702,Brunei Darussalam,4.925000191,114.927803
SKP,Skopje International Airport,1355462.059,Macedonia,41.9618988,21.61809921
NAN,Nadi International,1354378.809,Fiji,-17.75309944,177.4477997
VRN,Verona,1353273.894,Italy,45.46670151,10.93330002
NYO,Skavsta,1351852.67,Sweden,58.78919983,16.90690041
VTE,Wattay Intl,1339689.939,Laos,17.98469925,102.5667038
TRN,Citta Di Torino,1320494.749,Italy,45.2010994,7.648099899
BFS,Belfast Intl,1309662.249,United Kingdom,54.65420151,-6.224999905
KIN,Norman Manley Intl,1285488.442,Jamaica,17.95000076,-76.73329926
NJF,Al-Ashraf International Airport,1284669.505,Iraq,31.98999977,44.40299988
TRV,Trivandrum International,1279218.591,India,8.479700089,76.91970062
TSF,Venice-Treviso,1265400.654,Italy,45.68330002,12.08329964
MTY,Mariano Escobedo Intl,1246357.119,Mexico,25.78000069,-100.1100006
MVD,Carrasco,1245681.171,Uruguay,-34.84000015,-56.03030014
PRN,Pristina International,1237730.116,Serbia,42.57360077,21.03560066
LAD,4 De Fevereiro,1227092.601,Angola,-8.853099823,13.2361002
BTS,M.R. Stefanik,1211732.116,Slovakia,48.16669846,17.2166996
TSE,Astana International,1209790.932,Kazakhstan,51.20000076,71.44999695
CGO,Xinzheng International,1204080.038,China,34.75,113.6667023
SEN,Southend,1193399.193,United Kingdom,51.57279968,0.701399982
SHE,Taoxian International,1164368.093,China,41.79999924,123.449997
EBB,Entebbe International,1154675.172,Uganda,0.0425,32.43809891
KGL,Kigali International Airport,1149332.583,Rwanda,-1.967800021,30.13999939
EBL,Erbil International Airport,1147586.384,Iraq,36.23329926,43.96670151
KOS,Sihanoukville International,1136883.874,Cambodia,10.5795002,103.6369019
LJU,Joze Pucnik,1134024.094,Slovenia,46.22470093,14.46080017
BOJ,Burgas,1124864.132,Bulgaria,42.56969833,27.51530075
RTM,Rotterdam Airport,1114261.281,Netherlands,51.95830154,4.444399834
CHC,Christchurch Intl,1113866.978,New Zealand,-43.48830032,172.5332947
MDE,Jose Marie Cordova,1102102.883,Colombia,6.220799923,-75.5931015
SXM,Prinses Juliana International,1098727.476,Sint Maarten,18.04360008,-63.11190033
KGS,Ippokratis Airport,1097817.546,Greece,36.79330063,27.0916996
KLO,Kalibo International,1094476.803,Philippines,11.68280029,122.3771973
PMO,Punta Raisi,1089186.21,Italy,38.18109894,13.10499954
GCM,Owen Roberts Intl,1084385.246,Cayman Islands,19.29249954,-81.35810089
BWI,Baltimore/Wash Intl,1084255.256,United States,39.17499924,-76.66999817
TRF,Torp,1073795.394,Norway,59.18780136,10.26029968
PTP,Le Raizet,1056246.744,Guadeloupe,16.26749992,-61.52640152
GRO,Costa Brava,1053954.587,Spain,41.90919876,2.763299942
CRK,Clark Intl Airport,1050397.194,Philippines,15.18060017,120.5567017
SLC,Salt Lake City Intl,1049183.954,United States,40.78419876,-111.9669037
CCS,Simon Bolivar International,1043291.074,Venezuela,10.60529995,-66.98809815
LIR,D. Oduber Quiros Intl,1031059.015,Costa Rica,10.58969975,-85.55000305
STI,Cibao Intl,1029343.147,Dominican Republic,19.46920013,-70.70030212
FMM,Allgaeu Airport,1025443.447,Germany,47.99250031,10.24359989
AMD,S. VallabhBhai Patel,1020503.827,India,23.06640053,72.62419891
KBL,Kabul International,1016196.825,Afghanistan,34.56389999,69.21389771
LEJ,Leipzig,1014437.627,Germany,51.40000153,12.41670036
SNN,Shannon International,1003275.819,Ireland,52.70059967,-8.918600082
SSH,Sharm el-Sheikh Interrnational,991611.383,Egypt,27.97500038,34.38970184
DAR,Julius Nyerere International,985142.214,Tanzania,-6.875299931,39.20190048
YEG,Edmonton Intl,980930.538,Canada,53.30419922,-113.5916977
POZ,Lawica,970440.345,Poland,52.41690064,16.88330078
PAP,Toussaint Louverture,960699.761,Haiti,18.56060028,-72.3289032
SZG,Salzburg,951609.127,Austria,47.79309845,13.00559998
SVG,Sola,951158.495,Norway,58.87969971,5.634699822
OVB,Tolmachevo,947536.107,Russian Federation,55.01670075,82.65000153
AGA,Agadir-Al Massira Airport,945885.234,Morocco,30.38059998,-9.545800209
LWO,Lviv International,933328.2,Ukraine,49.81669998,23.85000038
FRU,Manas International,926859.031,Kyrgyzstan,42.84999847,74.58329773
SVX,Koltsovo Airport,923812.932,Russian Federation,56.73329926,60.79999924
PLS,Providenciales Intl,910276.64,Turks and Caicos Islands,21.77280045,-72.26830292
